network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,gate_A,gate_B,rule_A,rule_B,edge_AA,edge_AB,edge_BA,edge_BB
1,1,1,1,A->B,AA,AND,AND,A' = 1,B' = A,0,1,0,0
2,1,1,1,A->B,OA,OR,AND,A' = 0,B' = A,0,1,0,0
3,1,2,2,A-|B,AA,AND,AND,A' = 1,B' = !A,0,-1,0,0
4,1,2,2,A-|B,OA,OR,AND,A' = 0,B' = !A,0,-1,0,0
5,2,1,3,"A->B, B->A",AA,AND,AND,A' = B,B' = A,0,1,1,0
6,2,2,4,"A->B, B-|A",AA,AND,AND,A' = !B,B' = A,0,1,-1,0
7,2,3,5,"A-|B, B-|A",AA,AND,AND,A' = !B,B' = !A,0,-1,-1,0
8,3,1,6,"A->A, A->B",AA,AND,AND,A' = A,B' = A,1,1,0,0
9,3,2,7,"A->A, A-|B",AA,AND,AND,A' = A,B' = !A,1,-1,0,0
10,3,3,8,"A-|A, A->B",AA,AND,AND,A' = !A,B' = A,-1,1,0,0
11,3,4,9,"A-|A, A-|B",AA,AND,AND,A' = !A,B' = !A,-1,-1,0,0
12,4,1,10,"A->A, B->A",AA,AND,AND,A' = A & B,B' = 1,1,0,1,0
13,4,1,10,"A->A, B->A",AO,AND,OR,A' = A & B,B' = 0,1,0,1,0
14,4,1,10,"A->A, B->A",OA,OR,AND,A' = A | B,B' = 1,1,0,1,0
15,4,1,10,"A->A, B->A",OO,OR,OR,A' = A | B,B' = 0,1,0,1,0
16,4,2,11,"A->A, B-|A",AA,AND,AND,A' = A & !B,B' = 1,1,0,-1,0
17,4,2,11,"A->A, B-|A",AO,AND,OR,A' = A & !B,B' = 0,1,0,-1,0
18,4,2,11,"A->A, B-|A",OA,OR,AND,A' = A | !B,B' = 1,1,0,-1,0
19,4,2,11,"A->A, B-|A",OO,OR,OR,A' = A | !B,B' = 0,1,0,-1,0
20,4,3,12,"A-|A, B->A",AA,AND,AND,A' = !A & B,B' = 1,-1,0,1,0
21,4,3,12,"A-|A, B->A",AO,AND,OR,A' = !A & B,B' = 0,-1,0,1,0
22,4,3,12,"A-|A, B->A",OA,OR,AND,A' = !A | B,B' = 1,-1,0,1,0
23,4,3,12,"A-|A, B->A",OO,OR,OR,A' = !A | B,B' = 0,-1,0,1,0
24,4,4,13,"A-|A, B-|A",AA,AND,AND,A' = !A & !B,B' = 1,-1,0,-1,0
25,4,4,13,"A-|A, B-|A",AO,AND,OR,A' = !A & !B,B' = 0,-1,0,-1,0
26,4,4,13,"A-|A, B-|A",OA,OR,AND,A' = !A | !B,B' = 1,-1,0,-1,0
27,4,4,13,"A-|A, B-|A",OO,OR,OR,A' = !A | !B,B' = 0,-1,0,-1,0
28,5,1,14,"A->A, A->B, B->A",AA,AND,AND,A' = A & B,B' = A,1,1,1,0
29,5,1,14,"A->A, A->B, B->A",OA,OR,AND,A' = A | B,B' = A,1,1,1,0
30,5,2,15,"A->A, A->B, B-|A",AA,AND,AND,A' = A & !B,B' = A,1,1,-1,0
31,5,2,15,"A->A, A->B, B-|A",OA,OR,AND,A' = A | !B,B' = A,1,1,-1,0
32,5,3,16,"A->A, A-|B, B->A",AA,AND,AND,A' = A & B,B' = !A,1,-1,1,0
33,5,3,16,"A->A, A-|B, B->A",OA,OR,AND,A' = A | B,B' = !A,1,-1,1,0
34,5,4,17,"A->A, A-|B, B-|A",AA,AND,AND,A' = A & !B,B' = !A,1,-1,-1,0
35,5,4,17,"A->A, A-|B, B-|A",OA,OR,AND,A' = A | !B,B' = !A,1,-1,-1,0
36,5,5,18,"A-|A, A->B, B->A",AA,AND,AND,A' = !A & B,B' = A,-1,1,1,0
37,5,5,18,"A-|A, A->B, B->A",OA,OR,AND,A' = !A | B,B' = A,-1,1,1,0
38,5,6,19,"A-|A, A->B, B-|A",AA,AND,AND,A' = !A & !B,B' = A,-1,1,-1,0
39,5,6,19,"A-|A, A->B, B-|A",OA,OR,AND,A' = !A | !B,B' = A,-1,1,-1,0
40,5,7,20,"A-|A, A-|B, B->A",AA,AND,AND,A' = !A & B,B' = !A,-1,-1,1,0
41,5,7,20,"A-|A, A-|B, B->A",OA,OR,AND,A' = !A | B,B' = !A,-1,-1,1,0
42,5,8,21,"A-|A, A-|B, B-|A",AA,AND,AND,A' = !A & !B,B' = !A,-1,-1,-1,0
43,5,8,21,"A-|A, A-|B, B-|A",OA,OR,AND,A' = !A | !B,B' = !A,-1,-1,-1,0
44,6,1,22,"A->A, B->B, B->A",AA,AND,AND,A' = A & B,B' = B,1,0,1,1
45,6,1,22,"A->A, B->B, B->A",OA,OR,AND,A' = A | B,B' = B,1,0,1,1
46,6,2,23,"A->A, B->B, B-|A",AA,AND,AND,A' = A & !B,B' = B,1,0,-1,1
47,6,2,23,"A->A, B->B, B-|A",OA,OR,AND,A' = A | !B,B' = B,1,0,-1,1
48,6,3,24,"A->A, B-|B, B->A",AA,AND,AND,A' = A & B,B' = !B,1,0,1,-1
49,6,3,24,"A->A, B-|B, B->A",OA,OR,AND,A' = A | B,B' = !B,1,0,1,-1
50,6,4,25,"A-|A, B->B, B-|A",AA,AND,AND,A' = !A & !B,B' = B,-1,0,-1,1
51,6,4,25,"A-|A, B->B, B-|A",OA,OR,AND,A' = !A | !B,B' = B,-1,0,-1,1
52,6,5,26,"A-|A, B->B, B->A",AA,AND,AND,A' = !A & B,B' = B,-1,0,1,1
53,6,5,26,"A-|A, B->B, B->A",OA,OR,AND,A' = !A | B,B' = B,-1,0,1,1
54,6,6,27,"A->A, B-|B, B-|A",AA,AND,AND,A' = A & !B,B' = !B,1,0,-1,-1
55,6,6,27,"A->A, B-|B, B-|A",OA,OR,AND,A' = A | !B,B' = !B,1,0,-1,-1
56,6,7,28,"A-|A, B-|B, B->A",AA,AND,AND,A' = !A & B,B' = !B,-1,0,1,-1
57,6,7,28,"A-|A, B-|B, B->A",OA,OR,AND,A' = !A | B,B' = !B,-1,0,1,-1
58,6,8,29,"A-|A, B-|B, B-|A",AA,AND,AND,A' = !A & !B,B' = !B,-1,0,-1,-1
59,6,8,29,"A-|A, B-|B, B-|A",OA,OR,AND,A' = !A | !B,B' = !B,-1,0,-1,-1
60,7,1,30,"A->A, B->B, A->B, B->A",AA,AND,AND,A' = A & B,B' = B & A,1,1,1,1
61,7,1,30,"A->A, B->B, A->B, B->A",OA,OR,AND,A' = A | B,B' = B & A,1,1,1,1
62,7,1,30,"A->A, B->B, A->B, B->A",OO,OR,OR,A' = A | B,B' = B | A,1,1,1,1
63,7,2,31,"A->A, B->B, A->B, B-|A",AA,AND,AND,A' = A & !B,B' = B & A,1,1,-1,1
64,7,2,31,"A->A, B->B, A->B, B-|A",OA,OR,AND,A' = A | !B,B' = B & A,1,1,-1,1
65,7,2,31,"A->A, B->B, A->B, B-|A",OO,OR,OR,A' = A | !B,B' = B | A,1,1,-1,1
66,7,3,32,"A->A, B->B, A-|B, B-|A",AA,AND,AND,A' = A & !B,B' = B & !A,1,-1,-1,1
67,7,3,32,"A->A, B->B, A-|B, B-|A",OA,OR,AND,A' = A | !B,B' = B & !A,1,-1,-1,1
68,7,3,32,"A->A, B->B, A-|B, B-|A",OO,OR,OR,A' = A | !B,B' = B | !A,1,-1,-1,1
69,7,4,33,"A->A, B-|B, A->B, B-|A",AA,AND,AND,A' = A & !B,B' = !B & A,1,1,-1,-1
70,7,4,33,"A->A, B-|B, A->B, B-|A",OA,OR,AND,A' = A | !B,B' = !B & A,1,1,-1,-1
71,7,4,33,"A->A, B-|B, A->B, B-|A",OO,OR,OR,A' = A | !B,B' = !B | A,1,1,-1,-1
72,7,5,34,"A->A, B-|B, A-|B, B->A",AA,AND,AND,A' = A & B,B' = !B & !A,1,-1,1,-1
73,7,5,34,"A->A, B-|B, A-|B, B->A",OA,OR,AND,A' = A | B,B' = !B & !A,1,-1,1,-1
74,7,5,34,"A->A, B-|B, A-|B, B->A",OO,OR,OR,A' = A | B,B' = !B | !A,1,-1,1,-1
75,7,6,35,"A->A, B-|B, A-|B, B-|A",AA,AND,AND,A' = A & !B,B' = !B & !A,1,-1,-1,-1
76,7,6,35,"A->A, B-|B, A-|B, B-|A",OA,OR,AND,A' = A | !B,B' = !B & !A,1,-1,-1,-1
77,7,6,35,"A->A, B-|B, A-|B, B-|A",OO,OR,OR,A' = A | !B,B' = !B | !A,1,-1,-1,-1
78,7,7,36,"A-|A, B->B, A->B, B->A",AA,AND,AND,A' = !A & B,B' = B & A,-1,1,1,1
79,7,7,36,"A-|A, B->B, A->B, B->A",OA,OR,AND,A' = !A | B,B' = B & A,-1,1,1,1
80,7,7,36,"A-|A, B->B, A->B, B->A",OO,OR,OR,A' = !A | B,B' = B | A,-1,1,1,1
81,7,8,37,"A-|A, B-|B, A->B, B->A",AA,AND,AND,A' = !A & B,B' = !B & A,-1,1,1,-1
82,7,8,37,"A-|A, B-|B, A->B, B->A",OA,OR,AND,A' = !A | B,B' = !B & A,-1,1,1,-1
83,7,8,37,"A-|A, B-|B, A->B, B->A",OO,OR,OR,A' = !A | B,B' = !B | A,-1,1,1,-1
84,7,9,38,"A-|A, B-|B, A->B, B-|A",AA,AND,AND,A' = !A & !B,B' = !B & A,-1,1,-1,-1
85,7,9,38,"A-|A, B-|B, A->B, B-|A",OA,OR,AND,A' = !A | !B,B' = !B & A,-1,1,-1,-1
86,7,9,38,"A-|A, B-|B, A->B, B-|A",OO,OR,OR,A' = !A | !B,B' = !B | A,-1,1,-1,-1
87,7,10,39,"A-|A, B-|B, A-|B, B-|A",AA,AND,AND,A' = !A & !B,B' = !B & !A,-1,-1,-1,-1
88,7,10,39,"A-|A, B-|B, A-|B, B-|A",OA,OR,AND,A' = !A | !B,B' = !B & !A,-1,-1,-1,-1
89,7,10,39,"A-|A, B-|B, A-|B, B-|A",OO,OR,OR,A' = !A | !B,B' = !B | !A,-1,-1,-1,-1
