network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,rule_A,rule_B,Attractor_Type,Cluster,cluster_label_numeric
1,1,1,1,A→B,AA,A' = 1,B' = A,Single fixed point,Cluster_4,3
2,1,1,1,A→B,OA,A' = 0,B' = A,Single fixed point,Cluster_4,3
3,1,2,2,A⊣B,AA,A' = 1,B' = !A,Single fixed point,Cluster_4,3
4,1,2,2,A⊣B,OA,A' = 0,B' = !A,Single fixed point,Cluster_4,3
5,2,1,3,"A→B,B→A",AA,A' = B,B' = A,Multi-attractor fixed-point,Cluster_1,0
6,2,2,4,"A→B,B⊣A",AA,A' = !B,B' = A,Cyclic / trap dominated,Cluster_2,1
7,2,3,5,"A⊣B,B⊣A",AA,A' = !B,B' = !A,Multi-attractor fixed-point,Cluster_1,0
8,3,1,6,"A→A,A→B",AA,A' = A,B' = A,Multi-attractor fixed-point,Cluster_1,0
9,3,2,7,"A→A,A⊣B",AA,A' = A,B' = !A,Multi-attractor fixed-point,Cluster_1,0
10,3,3,8,"A⊣A,A→B",AA,A' = !A,B' = A,Cyclic / trap dominated,Cluster_2,1
11,3,4,9,"A⊣A,A⊣B",AA,A' = !A,B' = !A,Cyclic / trap dominated,Cluster_2,1
12,4,1,10,"A→A,B→A",AA,A' = A & B,B' = 1,Multi-attractor fixed-point,Cluster_1,0
13,4,1,10,"A→A,B→A",AO,A' = A & B,B' = 0,Single fixed point,Cluster_4,3
14,4,1,10,"A→A,B→A",OA,A' = A | B,B' = 1,Single fixed point,Cluster_4,3
15,4,1,10,"A→A,B→A",OO,A' = A | B,B' = 0,Multi-attractor fixed-point,Cluster_1,0
16,4,2,11,"A→A,B⊣A",AA,A' = A & !B,B' = 1,Single fixed point,Cluster_4,3
17,4,2,11,"A→A,B⊣A",AO,A' = A & !B,B' = 0,Multi-attractor fixed-point,Cluster_1,0
18,4,2,11,"A→A,B⊣A",OA,A' = A | !B,B' = 1,Multi-attractor fixed-point,Cluster_1,0
19,4,2,11,"A→A,B⊣A",OO,A' = A | !B,B' = 0,Single fixed point,Cluster_4,3
20,4,3,12,"A⊣A,B→A",AA,A' = !A & B,B' = 1,Cyclic / trap dominated,Cluster_3,2
21,4,3,12,"A⊣A,B→A",AO,A' = !A & B,B' = 0,Single fixed point,Cluster_4,3
22,4,3,12,"A⊣A,B→A",OA,A' = !A | B,B' = 1,Single fixed point,Cluster_4,3
23,4,3,12,"A⊣A,B→A",OO,A' = !A | B,B' = 0,Cyclic / trap dominated,Cluster_3,2
24,4,4,13,"A⊣A,B⊣A",AA,A' = !A & !B,B' = 1,Single fixed point,Cluster_4,3
25,4,4,13,"A⊣A,B⊣A",AO,A' = !A & !B,B' = 0,Cyclic / trap dominated,Cluster_3,2
26,4,4,13,"A⊣A,B⊣A",OA,A' = !A | !B,B' = 1,Cyclic / trap dominated,Cluster_3,2
27,4,4,13,"A⊣A,B⊣A",OO,A' = !A | !B,B' = 0,Single fixed point,Cluster_4,3
28,5,1,14,"A→A,A→B,B→A",AA,A' = A & B,B' = A,Multi-attractor fixed-point,Cluster_1,0
29,5,1,14,"A→A,A→B,B→A",OA,A' = A | B,B' = A,Multi-attractor fixed-point,Cluster_1,0
30,5,2,15,"A→A,A→B,B⊣A",AA,A' = A & !B,B' = A,Single fixed point,Cluster_4,3
31,5,2,15,"A→A,A→B,B⊣A",OA,A' = A | !B,B' = A,Single fixed point,Cluster_4,3
32,5,3,16,"A→A,A⊣B,B→A",AA,A' = A & B,B' = !A,Single fixed point,Cluster_4,3
