network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,gate_A,gate_B,rule_A,rule_B,Number of Nodes,Number of Edges,Density,Strongly Connected,Number of SCCs,Largest SCC Size,Avg In-Degree,Avg Out-Degree,Max In-Degree,Max Out-Degree,Has Cycle,Number of Cycles,Number of Limit Cycles,Max Cycle Length,Avg Cycle Length,Shannon Entropy (Out-degree),Shannon Entropy (In-degree),Transition Entropy,Basin Entropy,Spectral Radius,Algebraic Connectivity,Number of Attractors,Number of Fixed Points,Has Fixed Point Attractor,Avg Attractor Length,Max Attractor Length,Attractor Coverage,Avg Basin Size,Max Basin Size,Basin Size Variance,Basin Size Skewness,Average Transient Length,Maximum Transient Length,Diameter,Average Shortest Path Length,Garden of Eden Count,Common Sea Count,Specific Part Count,Backward Boolean Equivalence,Derrida Coefficient,Average Sensitivity,Fixed Point Attractors,Cycle or Trap Components,Attractor Components,Basin Sizes,Attractor_Type
1,1,1,1,A→B,AA,AND,AND,A' = 1,B' = A,4,5,0.4166666666666667,0,4,1,1.25,1.25,3,2,0,0,0,0,0.0,0.8112781244591328,1.5,1.3709505944546687,-0.0,1.0,1.9999999999999987,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.0,2,2,1.3333333333333333,1,2,0,0,0.75,0.75,11,None,11,4,Single fixed point
2,1,1,1,A→B,OA,OR,AND,A' = 0,B' = A,4,5,0.4166666666666667,0,4,1,1.25,1.25,3,2,0,0,0,0,0.0,0.8112781244591328,1.5,1.3709505944546687,-0.0,1.0,1.9999999999999987,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.0,2,2,1.3333333333333333,1,2,0,0,0.75,0.75,00,None,00,4,Single fixed point
3,1,2,2,A⊣B,AA,AND,AND,A' = 1,B' = !A,4,5,0.4166666666666667,0,4,1,1.25,1.25,3,2,0,0,0,0,0.0,0.8112781244591328,1.5,1.3709505944546687,-0.0,1.0,1.9999999999999987,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.0,2,2,1.3333333333333333,1,2,0,0,0.75,0.75,10,None,10,4,Single fixed point
4,1,2,2,A⊣B,OA,OR,AND,A' = 0,B' = !A,4,5,0.4166666666666667,0,4,1,1.25,1.25,3,2,0,0,0,0,0.0,0.8112781244591328,1.5,1.3709505944546687,-0.0,1.0,1.9999999999999987,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.0,2,2,1.3333333333333333,1,2,0,0,0.75,0.75,01,None,01,4,Single fixed point
5,2,1,3,"A→B,B→A",AA,AND,AND,A' = B,B' = A,4,6,0.5,0,4,1,1.5,1.5,3,2,0,0,0,0,0.0,1.0,1.0,1.0,-0.0,1.0,1.9999999999999987,2,2,1,1.0,1,0.5,3.0,3,0.0,0.0,0.5,1,1,1.0,2,0,2,0,1.0,1.0,00; 11,None,00; 11,3; 3,Multi-attractor fixed-point
6,2,2,4,"A→B,B⊣A",AA,AND,AND,A' = !B,B' = A,4,4,0.3333333333333333,1,1,4,1.0,1.0,1,1,1,1,1,4,4.0,-0.0,-0.0,2.0,-0.0,1.0000000000000004,1.9999999999999987,1,0,0,4.0,4,1.0,4.0,4,0.0,0.0,0.0,0,3,2.0,0,0,2,0,1.0,1.0,None,"{00,01,10,11}","{00,01,10,11}",4,Cyclic / trap dominated
7,2,3,5,"A⊣B,B⊣A",AA,AND,AND,A' = !B,B' = !A,4,6,0.5,0,4,1,1.5,1.5,3,2,0,0,0,0,0.0,1.0,1.0,1.0,-0.0,1.0,1.9999999999999987,2,2,1,1.0,1,0.5,3.0,3,0.0,0.0,0.5,1,1,1.0,2,0,2,0,1.0,1.0,01; 10,None,01; 10,3; 3,Multi-attractor fixed-point
8,3,1,6,"A→A,A→B",AA,AND,AND,A' = A,B' = A,4,4,0.3333333333333333,0,4,1,1.0,1.0,2,1,0,0,0,0,0.0,-0.0,1.0,1.0,-0.0,1.0,0.0,2,2,1,1.0,1,0.5,2.0,2,0.0,0.0,0.5,1,1,1.0,2,0,2,0,1.0,1.0,00; 11,None,00; 11,2; 2,Multi-attractor fixed-point
9,3,2,7,"A→A,A⊣B",AA,AND,AND,A' = A,B' = !A,4,4,0.3333333333333333,0,4,1,1.0,1.0,2,1,0,0,0,0,0.0,-0.0,1.0,1.0,-0.0,1.0,0.0,2,2,1,1.0,1,0.5,2.0,2,0.0,0.0,0.5,1,1,1.0,2,0,2,0,1.0,1.0,01; 10,None,01; 10,2; 2,Multi-attractor fixed-point
10,3,3,8,"A⊣A,A→B",AA,AND,AND,A' = !A,B' = A,4,6,0.5,1,1,4,1.5,1.5,2,2,1,1,1,4,4.0,1.0,1.0,1.9182958340544896,-0.0,1.4142135623730947,1.9999999999999987,1,0,0,4.0,4,1.0,4.0,4,0.0,0.0,0.0,0,3,1.6666666666666667,0,0,2,0,1.0,1.0,None,"{00,01,10,11}","{00,01,10,11}",4,Cyclic / trap dominated
