network_id,Number of Edges,Density,Strongly Connected,Number of SCCs,Largest SCC Size,Avg In-Degree,Avg Out-Degree,Max In-Degree,Max Out-Degree,Has Cycle,Number of Cycles,Number of Limit Cycles,Max Cycle Length,Avg Cycle Length,Shannon Entropy (Out-degree),Shannon Entropy (In-degree),Transition Entropy,Basin Entropy,Spectral Radius,Algebraic Connectivity,Number of Attractors,Number of Fixed Points,Has Fixed Point Attractor,Avg Attractor Length,Max Attractor Length,Attractor Coverage,Avg Basin Size,Max Basin Size,Basin Size Variance,Basin Size Skewness,Average Transient Length,Maximum Transient Length,Diameter,Average Shortest Path Length,Garden of Eden Count,Common Sea Count,Specific Part Count,Derrida Coefficient,Average Sensitivity
1,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3939676648638247,-0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.15873015873015814,0.0,0.5,-0.5,-0.25,-0.25
2,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3939676648638247,-0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.15873015873015814,0.0,0.5,-0.5,-0.25,-0.25
3,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3939676648638247,-0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.15873015873015814,0.0,0.5,-0.5,-0.25,-0.25
4,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3939676648638247,-0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.15873015873015814,0.0,0.5,-0.5,-0.25,-0.25
5,0.5,0.49999999999999983,0.0,0.5,-1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23262290680731132,-0.7259824578787191,-1.3619432841336945,-0.0,0.0,0.9999999999999997,1.0,0.5,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,0.0,0.0,0.0,0.0,-1.0,-0.9523809523809526,1.0,-0.5,0.5,0.0,0.0
6,-0.5,-0.5000000000000001,1.0,-1.0,2.0,-0.5,-0.5,-1.0,-1.0,1.0,1.0,1.0,2.0,2.0,-1.0,-2.177947373636157,1.2475029163579976,-0.0,4.440892098500626e-16,0.9999999999999997,0.0,-0.5,-1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,1.0,2.3809523809523805,-1.0,-0.5,0.5,0.0,0.0
7,0.5,0.49999999999999983,0.0,0.5,-1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23262290680731132,-0.7259824578787191,-1.3619432841336945,-0.0,0.0,0.9999999999999997,1.0,0.5,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,0.0,0.0,0.0,0.0,-1.0,-0.9523809523809526,1.0,-0.5,0.5,0.0,0.0
8,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.7259824578787191,-1.3619432841336945,-0.0,0.0,-0.41421356237309537,1.0,0.5,0.0,0.0,0.0,0.0,-1.3333333333333333,-2.0,0.0,0.0,0.0,0.0,-1.0,-0.9523809523809526,1.0,-0.5,0.5,0.0,0.0
9,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.7259824578787191,-1.3619432841336945,-0.0,0.0,-0.41421356237309537,1.0,0.5,0.0,0.0,0.0,0.0,-1.3333333333333333,-2.0,0.0,0.0,0.0,0.0,-1.0,-0.9523809523809526,1.0,-0.5,0.5,0.0,0.0
10,0.5,0.49999999999999983,1.0,-1.0,2.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.23262290680731132,-0.7259824578787191,1.0343002909671426,-0.0,0.4142135623730947,0.9999999999999997,0.0,-0.5,-1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,1.0,1.2698412698412695,-1.0,-0.5,0.5,0.0,0.0
11,0.5,0.49999999999999983,1.0,-1.0,2.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.23262290680731132,-0.7259824578787191,1.0343002909671426,-0.0,0.4142135623730949,0.9999999999999997,0.0,-0.5,-1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,1.0,1.2698412698412695,-1.0,-0.5,0.5,0.0,0.0
12,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0889736868180786,0.0,-1.5700924586837762e-16,1.0,0.5,0.0,0.0,0.0,0.0,-1.0,-1.0,1.125,0.0,0.0,0.0,0.0,-0.11904761904761935,0.0,0.0,0.0,-0.25,-0.25
13,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.8544028652134763,-0.0,0.0,-1.5700924586837762e-16,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,-0.11904761904761935,1.0,0.5,-0.5,-0.25,-0.25
14,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.8544028652134763,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,-0.11904761904761935,1.0,0.5,-0.5,-0.25,-0.25
15,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0889736868180786,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,-1.0,-1.0,1.125,0.0,0.0,0.0,0.0,-0.11904761904761935,0.0,0.0,0.0,-0.25,-0.25
16,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.8544028652134763,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,-0.11904761904761935,1.0,0.5,-0.5,-0.25,-0.25
17,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0889736868180786,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,-1.0,-1.0,1.125,0.0,0.0,0.0,0.0,-0.11904761904761935,0.0,0.0,0.0,-0.25,-0.25
18,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0889736868180786,0.0,-1.5700924586837762e-16,1.0,0.5,0.0,0.0,0.0,0.0,-1.0,-1.0,1.125,0.0,0.0,0.0,0.0,-0.11904761904761935,0.0,0.0,0.0,-0.25,-0.25
19,-0.5,-0.5000000000000001,0.0,0.5,-1.0,-0.5,-0.5,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.8544028652134763,-0.0,0.0,-1.5700924586837762e-16,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,-0.11904761904761935,1.0,0.5,-0.5,-0.25,-0.25
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.9999999999999997,0.0,-0.5,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25
21,0.5,0.49999999999999983,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23262290680731132,-1.0,0.7059939035806213,-0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,-1.0,0.5,-0.5,-0.25,-0.25
22,0.5,0.49999999999999983,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23262290680731132,-1.0,0.7059939035806213,-0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,-1.0,0.5,-0.5,-0.25,-0.25
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.9999999999999997,0.0,-0.5,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25
24,0.5,0.49999999999999983,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23262290680731132,-1.0,0.7059939035806213,-0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,-1.0,0.5,-0.5,-0.25,-0.25
