network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,gate_A,gate_B,rule_A,rule_B,edge_AA,edge_AB,edge_BA,edge_BB,start_state,A_update_only,B_update_only
1,1,1,1,A→B,AA,AND,AND,A' = 1,B' = A,0,1,0,0,00,10,00
1,1,1,1,A→B,AA,AND,AND,A' = 1,B' = A,0,1,0,0,01,11,00
1,1,1,1,A→B,AA,AND,AND,A' = 1,B' = A,0,1,0,0,10,10,11
1,1,1,1,A→B,AA,AND,AND,A' = 1,B' = A,0,1,0,0,11,11,11
2,1,1,1,A→B,OA,OR,AND,A' = 0,B' = A,0,1,0,0,00,00,00
2,1,1,1,A→B,OA,OR,AND,A' = 0,B' = A,0,1,0,0,01,01,00
2,1,1,1,A→B,OA,OR,AND,A' = 0,B' = A,0,1,0,0,10,00,11
2,1,1,1,A→B,OA,OR,AND,A' = 0,B' = A,0,1,0,0,11,01,11
3,1,2,2,A⊣B,AA,AND,AND,A' = 1,B' = !A,0,-1,0,0,00,10,01
3,1,2,2,A⊣B,AA,AND,AND,A' = 1,B' = !A,0,-1,0,0,01,11,01
3,1,2,2,A⊣B,AA,AND,AND,A' = 1,B' = !A,0,-1,0,0,10,10,10
3,1,2,2,A⊣B,AA,AND,AND,A' = 1,B' = !A,0,-1,0,0,11,11,10
4,1,2,2,A⊣B,OA,OR,AND,A' = 0,B' = !A,0,-1,0,0,00,00,01
4,1,2,2,A⊣B,OA,OR,AND,A' = 0,B' = !A,0,-1,0,0,01,01,01
4,1,2,2,A⊣B,OA,OR,AND,A' = 0,B' = !A,0,-1,0,0,10,00,10
4,1,2,2,A⊣B,OA,OR,AND,A' = 0,B' = !A,0,-1,0,0,11,01,10
5,2,1,3,"A→B,B→A",AA,AND,AND,A' = B,B' = A,0,1,1,0,00,00,00
5,2,1,3,"A→B,B→A",AA,AND,AND,A' = B,B' = A,0,1,1,0,01,11,00
5,2,1,3,"A→B,B→A",AA,AND,AND,A' = B,B' = A,0,1,1,0,10,00,11
5,2,1,3,"A→B,B→A",AA,AND,AND,A' = B,B' = A,0,1,1,0,11,11,11
6,2,2,4,"A→B,B⊣A",AA,AND,AND,A' = !B,B' = A,0,1,-1,0,00,10,00
6,2,2,4,"A→B,B⊣A",AA,AND,AND,A' = !B,B' = A,0,1,-1,0,01,01,00
6,2,2,4,"A→B,B⊣A",AA,AND,AND,A' = !B,B' = A,0,1,-1,0,10,10,11
6,2,2,4,"A→B,B⊣A",AA,AND,AND,A' = !B,B' = A,0,1,-1,0,11,01,11
7,2,3,5,"A⊣B,B⊣A",AA,AND,AND,A' = !B,B' = !A,0,-1,-1,0,00,10,01
7,2,3,5,"A⊣B,B⊣A",AA,AND,AND,A' = !B,B' = !A,0,-1,-1,0,01,01,01
7,2,3,5,"A⊣B,B⊣A",AA,AND,AND,A' = !B,B' = !A,0,-1,-1,0,10,10,10
7,2,3,5,"A⊣B,B⊣A",AA,AND,AND,A' = !B,B' = !A,0,-1,-1,0,11,01,10
8,3,1,6,"A→A,A→B",AA,AND,AND,A' = A,B' = A,1,1,0,0,00,00,00
8,3,1,6,"A→A,A→B",AA,AND,AND,A' = A,B' = A,1,1,0,0,01,01,00
8,3,1,6,"A→A,A→B",AA,AND,AND,A' = A,B' = A,1,1,0,0,10,10,11
8,3,1,6,"A→A,A→B",AA,AND,AND,A' = A,B' = A,1,1,0,0,11,11,11
9,3,2,7,"A→A,A⊣B",AA,AND,AND,A' = A,B' = !A,1,-1,0,0,00,00,01
9,3,2,7,"A→A,A⊣B",AA,AND,AND,A' = A,B' = !A,1,-1,0,0,01,01,01
9,3,2,7,"A→A,A⊣B",AA,AND,AND,A' = A,B' = !A,1,-1,0,0,10,10,10
9,3,2,7,"A→A,A⊣B",AA,AND,AND,A' = A,B' = !A,1,-1,0,0,11,11,10
10,3,3,8,"A⊣A,A→B",AA,AND,AND,A' = !A,B' = A,-1,1,0,0,00,10,00
10,3,3,8,"A⊣A,A→B",AA,AND,AND,A' = !A,B' = A,-1,1,0,0,01,11,00
10,3,3,8,"A⊣A,A→B",AA,AND,AND,A' = !A,B' = A,-1,1,0,0,10,00,11
10,3,3,8,"A⊣A,A→B",AA,AND,AND,A' = !A,B' = A,-1,1,0,0,11,01,11
11,3,4,9,"A⊣A,A⊣B",AA,AND,AND,A' = !A,B' = !A,-1,-1,0,0,00,10,01
11,3,4,9,"A⊣A,A⊣B",AA,AND,AND,A' = !A,B' = !A,-1,-1,0,0,01,11,01
11,3,4,9,"A⊣A,A⊣B",AA,AND,AND,A' = !A,B' = !A,-1,-1,0,0,10,00,10
11,3,4,9,"A⊣A,A⊣B",AA,AND,AND,A' = !A,B' = !A,-1,-1,0,0,11,01,10
12,4,1,10,"A→A,B→A",AA,AND,AND,A' = A & B,B' = 1,1,0,1,0,00,00,01
12,4,1,10,"A→A,B→A",AA,AND,AND,A' = A & B,B' = 1,1,0,1,0,01,01,01
12,4,1,10,"A→A,B→A",AA,AND,AND,A' = A & B,B' = 1,1,0,1,0,10,00,11
12,4,1,10,"A→A,B→A",AA,AND,AND,A' = A & B,B' = 1,1,0,1,0,11,11,11
13,4,1,10,"A→A,B→A",AO,AND,OR,A' = A & B,B' = 0,1,0,1,0,00,00,00
13,4,1,10,"A→A,B→A",AO,AND,OR,A' = A & B,B' = 0,1,0,1,0,01,01,00
13,4,1,10,"A→A,B→A",AO,AND,OR,A' = A & B,B' = 0,1,0,1,0,10,00,10
13,4,1,10,"A→A,B→A",AO,AND,OR,A' = A & B,B' = 0,1,0,1,0,11,11,10
14,4,1,10,"A→A,B→A",OA,OR,AND,A' = A | B,B' = 1,1,0,1,0,00,00,01
14,4,1,10,"A→A,B→A",OA,OR,AND,A' = A | B,B' = 1,1,0,1,0,01,11,01
14,4,1,10,"A→A,B→A",OA,OR,AND,A' = A | B,B' = 1,1,0,1,0,10,10,11
14,4,1,10,"A→A,B→A",OA,OR,AND,A' = A | B,B' = 1,1,0,1,0,11,11,11
15,4,1,10,"A→A,B→A",OO,OR,OR,A' = A | B,B' = 0,1,0,1,0,00,00,00
15,4,1,10,"A→A,B→A",OO,OR,OR,A' = A | B,B' = 0,1,0,1,0,01,11,00
15,4,1,10,"A→A,B→A",OO,OR,OR,A' = A | B,B' = 0,1,0,1,0,10,10,10
15,4,1,10,"A→A,B→A",OO,OR,OR,A' = A | B,B' = 0,1,0,1,0,11,11,10
16,4,2,11,"A→A,B⊣A",AA,AND,AND,A' = A & !B,B' = 1,1,0,-1,0,00,00,01
16,4,2,11,"A→A,B⊣A",AA,AND,AND,A' = A & !B,B' = 1,1,0,-1,0,01,01,01
16,4,2,11,"A→A,B⊣A",AA,AND,AND,A' = A & !B,B' = 1,1,0,-1,0,10,10,11
16,4,2,11,"A→A,B⊣A",AA,AND,AND,A' = A & !B,B' = 1,1,0,-1,0,11,01,11
17,4,2,11,"A→A,B⊣A",AO,AND,OR,A' = A & !B,B' = 0,1,0,-1,0,00,00,00
17,4,2,11,"A→A,B⊣A",AO,AND,OR,A' = A & !B,B' = 0,1,0,-1,0,01,01,00
17,4,2,11,"A→A,B⊣A",AO,AND,OR,A' = A & !B,B' = 0,1,0,-1,0,10,10,10
17,4,2,11,"A→A,B⊣A",AO,AND,OR,A' = A & !B,B' = 0,1,0,-1,0,11,01,10
18,4,2,11,"A→A,B⊣A",OA,OR,AND,A' = A | !B,B' = 1,1,0,-1,0,00,10,01
18,4,2,11,"A→A,B⊣A",OA,OR,AND,A' = A | !B,B' = 1,1,0,-1,0,01,01,01
18,4,2,11,"A→A,B⊣A",OA,OR,AND,A' = A | !B,B' = 1,1,0,-1,0,10,10,11
18,4,2,11,"A→A,B⊣A",OA,OR,AND,A' = A | !B,B' = 1,1,0,-1,0,11,11,11
19,4,2,11,"A→A,B⊣A",OO,OR,OR,A' = A | !B,B' = 0,1,0,-1,0,00,10,00
19,4,2,11,"A→A,B⊣A",OO,OR,OR,A' = A | !B,B' = 0,1,0,-1,0,01,01,00
19,4,2,11,"A→A,B⊣A",OO,OR,OR,A' = A | !B,B' = 0,1,0,-1,0,10,10,10
19,4,2,11,"A→A,B⊣A",OO,OR,OR,A' = A | !B,B' = 0,1,0,-1,0,11,11,10
20,4,3,12,"A⊣A,B→A",AA,AND,AND,A' = !A & B,B' = 1,-1,0,1,0,00,00,01
20,4,3,12,"A⊣A,B→A",AA,AND,AND,A' = !A & B,B' = 1,-1,0,1,0,01,11,01
20,4,3,12,"A⊣A,B→A",AA,AND,AND,A' = !A & B,B' = 1,-1,0,1,0,10,00,11
20,4,3,12,"A⊣A,B→A",AA,AND,AND,A' = !A & B,B' = 1,-1,0,1,0,11,01,11
21,4,3,12,"A⊣A,B→A",AO,AND,OR,A' = !A & B,B' = 0,-1,0,1,0,00,00,00
