network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,gate_A,gate_B,rule_A,rule_B,Number of Attractors,Number of Fixed Points,Number of Limit Cycles,Avg Attractor Length,Max Attractor Length,Attractor Coverage,Avg Basin Size,Max Basin Size,Basin Size Variance,Basin Size Skewness,Average Transient Length,Maximum Transient Length,Transient Length Variance,Transient Length Skewness,Garden of Eden Count,Common Sea Count,Specific Part Count,Avg Pre-image Count,Max Pre-image Count,Avg Hamming Distance per Transition,Average Sensitivity,Derrida Coefficient,Attractor Components,Attractor_Type
1,1,1,1,A→B,AA,AND,AND,A' = 1,B' = A,1,1,0,1.0,1,1.0,4.0,4,0.0,0.0,1.25,2,0.6875,-0.4933822002181585,2,2,0,1.0,2,1.0,0.5,0.5,11,Stable Fixed-point
2,1,1,1,A→B,OA,OR,AND,A' = 0,B' = A,1,1,0,1.0,1,1.0,4.0,4,0.0,0.0,1.25,2,0.6875,-0.4933822002181586,2,2,0,1.0,2,1.0,0.5,0.5,00,Stable Fixed-point
3,1,2,2,A⊣B,AA,AND,AND,A' = 1,B' = !A,1,1,0,1.0,1,1.0,4.0,4,0.0,0.0,1.25,2,0.6875,-0.4933822002181585,2,2,0,1.0,2,1.0,0.5,0.5,10,Stable Fixed-point
4,1,2,2,A⊣B,OA,OR,AND,A' = 0,B' = !A,1,1,0,1.0,1,1.0,4.0,4,0.0,0.0,1.25,2,0.6875,-0.4933822002181586,2,2,0,1.0,2,1.0,0.5,0.5,01,Stable Fixed-point
5,2,1,3,"A→B,B→A",AA,AND,AND,A' = B,B' = A,3,2,1,1.3333333333333333,2,1.0,1.3333333333333333,2,0.2222222222222222,0.7071067811865479,0.0,0,0.0,0.0,0,0,2,1.0,1,1.0,1.0,1.0,"00; [01,10]; 11",Hybrid Multimodal
6,2,2,4,"A→B,B⊣A",AA,AND,AND,A' = !B,B' = A,1,0,1,4.0,4,1.0,4.0,4,0.0,0.0,0.0,0,0.0,0.0,0,0,2,1.0,1,1.0,1.0,1.0,"[00,01,10,11]",Pure Oscillatory
7,2,3,5,"A⊣B,B⊣A",AA,AND,AND,A' = !B,B' = !A,3,2,1,1.3333333333333333,2,1.0,1.3333333333333333,2,0.2222222222222222,0.7071067811865479,0.0,0,0.0,0.0,0,0,2,1.0,1,1.0,1.0,1.0,"[00,11]; 01; 10",Hybrid Multimodal
8,3,1,6,"A→A,A→B",AA,AND,AND,A' = A,B' = A,2,2,0,1.0,1,1.0,2.0,2,0.0,0.0,0.5,1,0.25,0.0,2,0,2,1.0,2,0.5,1.0,1.0,00; 11,Complex Composite
9,3,2,7,"A→A,A⊣B",AA,AND,AND,A' = A,B' = !A,2,2,0,1.0,1,1.0,2.0,2,0.0,0.0,0.5,1,0.25,0.0,2,0,2,1.0,2,0.5,1.0,1.0,01; 10,Complex Composite
10,3,3,8,"A⊣A,A→B",AA,AND,AND,A' = !A,B' = A,1,0,1,2.0,2,1.0,4.0,4,0.0,0.0,0.5,1,0.25,0.0,2,0,2,1.0,2,1.5,1.0,1.0,"[01,10]",Pure Oscillatory
