network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,rule_A,rule_B,from_state,to_state,update_scheme,selected_node,is_self_loop
1,1,1,1,A→B,AA,A' = 1,B' = A,00,10,sync,A+B,0
1,1,1,1,A→B,AA,A' = 1,B' = A,01,10,sync,A+B,0
1,1,1,1,A→B,AA,A' = 1,B' = A,10,11,sync,A+B,0
1,1,1,1,A→B,AA,A' = 1,B' = A,11,11,sync,A+B,1
2,1,1,1,A→B,OA,A' = 0,B' = A,00,00,sync,A+B,1
2,1,1,1,A→B,OA,A' = 0,B' = A,01,00,sync,A+B,0
2,1,1,1,A→B,OA,A' = 0,B' = A,10,01,sync,A+B,0
2,1,1,1,A→B,OA,A' = 0,B' = A,11,01,sync,A+B,0
3,1,2,2,A⊣B,AA,A' = 1,B' = !A,00,11,sync,A+B,0
3,1,2,2,A⊣B,AA,A' = 1,B' = !A,01,11,sync,A+B,0
3,1,2,2,A⊣B,AA,A' = 1,B' = !A,10,10,sync,A+B,1
3,1,2,2,A⊣B,AA,A' = 1,B' = !A,11,10,sync,A+B,0
4,1,2,2,A⊣B,OA,A' = 0,B' = !A,00,01,sync,A+B,0
4,1,2,2,A⊣B,OA,A' = 0,B' = !A,01,01,sync,A+B,1
4,1,2,2,A⊣B,OA,A' = 0,B' = !A,10,00,sync,A+B,0
4,1,2,2,A⊣B,OA,A' = 0,B' = !A,11,00,sync,A+B,0
5,2,1,3,"A→B,B→A",AA,A' = B,B' = A,00,00,sync,A+B,1
5,2,1,3,"A→B,B→A",AA,A' = B,B' = A,01,10,sync,A+B,0
5,2,1,3,"A→B,B→A",AA,A' = B,B' = A,10,01,sync,A+B,0
5,2,1,3,"A→B,B→A",AA,A' = B,B' = A,11,11,sync,A+B,1
6,2,2,4,"A→B,B⊣A",AA,A' = !B,B' = A,00,10,sync,A+B,0
6,2,2,4,"A→B,B⊣A",AA,A' = !B,B' = A,01,00,sync,A+B,0
6,2,2,4,"A→B,B⊣A",AA,A' = !B,B' = A,10,11,sync,A+B,0
6,2,2,4,"A→B,B⊣A",AA,A' = !B,B' = A,11,01,sync,A+B,0
7,2,3,5,"A⊣B,B⊣A",AA,A' = !B,B' = !A,00,11,sync,A+B,0
7,2,3,5,"A⊣B,B⊣A",AA,A' = !B,B' = !A,01,01,sync,A+B,1
7,2,3,5,"A⊣B,B⊣A",AA,A' = !B,B' = !A,10,10,sync,A+B,1
7,2,3,5,"A⊣B,B⊣A",AA,A' = !B,B' = !A,11,00,sync,A+B,0
8,3,1,6,"A→A,A→B",AA,A' = A,B' = A,00,00,sync,A+B,1
8,3,1,6,"A→A,A→B",AA,A' = A,B' = A,01,00,sync,A+B,0
8,3,1,6,"A→A,A→B",AA,A' = A,B' = A,10,11,sync,A+B,0
8,3,1,6,"A→A,A→B",AA,A' = A,B' = A,11,11,sync,A+B,1
9,3,2,7,"A→A,A⊣B",AA,A' = A,B' = !A,00,01,sync,A+B,0
9,3,2,7,"A→A,A⊣B",AA,A' = A,B' = !A,01,01,sync,A+B,1
9,3,2,7,"A→A,A⊣B",AA,A' = A,B' = !A,10,10,sync,A+B,1
9,3,2,7,"A→A,A⊣B",AA,A' = A,B' = !A,11,10,sync,A+B,0
10,3,3,8,"A⊣A,A→B",AA,A' = !A,B' = A,00,10,sync,A+B,0
10,3,3,8,"A⊣A,A→B",AA,A' = !A,B' = A,01,10,sync,A+B,0
10,3,3,8,"A⊣A,A→B",AA,A' = !A,B' = A,10,01,sync,A+B,0
10,3,3,8,"A⊣A,A→B",AA,A' = !A,B' = A,11,01,sync,A+B,0
11,3,4,9,"A⊣A,A⊣B",AA,A' = !A,B' = !A,00,11,sync,A+B,0
11,3,4,9,"A⊣A,A⊣B",AA,A' = !A,B' = !A,01,11,sync,A+B,0
11,3,4,9,"A⊣A,A⊣B",AA,A' = !A,B' = !A,10,00,sync,A+B,0
11,3,4,9,"A⊣A,A⊣B",AA,A' = !A,B' = !A,11,00,sync,A+B,0
12,4,1,10,"A→A,B→A",AA,A' = A & B,B' = 1,00,01,sync,A+B,0
12,4,1,10,"A→A,B→A",AA,A' = A & B,B' = 1,01,01,sync,A+B,1
12,4,1,10,"A→A,B→A",AA,A' = A & B,B' = 1,10,01,sync,A+B,0
12,4,1,10,"A→A,B→A",AA,A' = A & B,B' = 1,11,11,sync,A+B,1
13,4,1,10,"A→A,B→A",AO,A' = A & B,B' = 0,00,00,sync,A+B,1
13,4,1,10,"A→A,B→A",AO,A' = A & B,B' = 0,01,00,sync,A+B,0
13,4,1,10,"A→A,B→A",AO,A' = A & B,B' = 0,10,00,sync,A+B,0
13,4,1,10,"A→A,B→A",AO,A' = A & B,B' = 0,11,10,sync,A+B,0
14,4,1,10,"A→A,B→A",OA,A' = A | B,B' = 1,00,01,sync,A+B,0
14,4,1,10,"A→A,B→A",OA,A' = A | B,B' = 1,01,11,sync,A+B,0
14,4,1,10,"A→A,B→A",OA,A' = A | B,B' = 1,10,11,sync,A+B,0
14,4,1,10,"A→A,B→A",OA,A' = A | B,B' = 1,11,11,sync,A+B,1
15,4,1,10,"A→A,B→A",OO,A' = A | B,B' = 0,00,00,sync,A+B,1
15,4,1,10,"A→A,B→A",OO,A' = A | B,B' = 0,01,10,sync,A+B,0
15,4,1,10,"A→A,B→A",OO,A' = A | B,B' = 0,10,10,sync,A+B,1
15,4,1,10,"A→A,B→A",OO,A' = A | B,B' = 0,11,10,sync,A+B,0
16,4,2,11,"A→A,B⊣A",AA,A' = A & !B,B' = 1,00,01,sync,A+B,0
16,4,2,11,"A→A,B⊣A",AA,A' = A & !B,B' = 1,01,01,sync,A+B,1
16,4,2,11,"A→A,B⊣A",AA,A' = A & !B,B' = 1,10,11,sync,A+B,0
16,4,2,11,"A→A,B⊣A",AA,A' = A & !B,B' = 1,11,01,sync,A+B,0
17,4,2,11,"A→A,B⊣A",AO,A' = A & !B,B' = 0,00,00,sync,A+B,1
17,4,2,11,"A→A,B⊣A",AO,A' = A & !B,B' = 0,01,00,sync,A+B,0
17,4,2,11,"A→A,B⊣A",AO,A' = A & !B,B' = 0,10,10,sync,A+B,1
17,4,2,11,"A→A,B⊣A",AO,A' = A & !B,B' = 0,11,00,sync,A+B,0
18,4,2,11,"A→A,B⊣A",OA,A' = A | !B,B' = 1,00,11,sync,A+B,0
18,4,2,11,"A→A,B⊣A",OA,A' = A | !B,B' = 1,01,01,sync,A+B,1
